Do you want to be in society?,Do you make an attempt to socialise?,Do you consume things to alter your perspective? (Alcohol and stuff),Are you depressed?,Do you try to improve yourself?,Would you compromise with a friend?,If you and another person were both thirsty and you only had enough water for one person; would you share with the other person?,If a colleague invited you to do something with them; how would you answer? (Date; hang-out; party; etc.),Are you anxious of social interaction?,Do you think you fit in with other people?,Do you shower more than twice a week?,Do you take care of your appearance? (shaving; hair styling; make up; fashion; etc.),Do you talk back in equal volume to someone that is talking to you? (Talking as much as they are to you and amplitude of voice),Which is more difficult?,Does it seem unrealistic to imagine yourself with another person in an intimate context? (Girlfriend; best friends; etc),Do you have long term goals?,Would you rather work in food service; or be unemployed?,You've lived a life with many moments where you regret doing nothing.,Is it reasonable to think that the majority of people are dumb?,Have you given up?,Are you currently celibate? (No sex for a while),Do you live your life by your own volition?,Can you look people in the eyes without discomfort?,Has anyone ever described you as awkward; autistic; weird; etc.?,Do you currently have a romantic partner? (Unrequited(crushes); non-exclusive and/or non-monogamous relationships DO NOT count),Do you currently have a medium for socialization? (Social media; work; etc.),Do you talk to people on a regular basis? (Internet stuff doesn't count),Do you have unconventional interests? (Anime; collecting specific items; weird fetishes; etc.),Are you currently in education; training or employment?,Are you good at speaking?,Is your family proud of you?,Do people usually like being around you?,Can you transport yourself easily?,Are you physically in-shape?,What is your biological sex?,How tall are you?,How attractive are you (from 0 to 10),What is your BMI?,How many friends and colleagues do you currently have?,Rate your life right now.,Which climate do you live in?,X,Y,result
Y,0,A,0,0,Y,Y,Y,D,0,N,N,Y,N,0,N,Y,N,A,A,N,N,Y,Y,N,Y,Y,N,Y,N,0,A,0,0,male,11,21,31,41,53,tropical,-1.0,-2.25,Lame normie
Y,A,N,0,0,Y,N,N,0,D,N,0,0,Y,0,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,A,0,N,0,D,male,11,21,31,41,53,dry,0.0,-0.5,Cool normie
A,D,0,A,A,A,N,Y,0,A,Y,D,N,Y,0,N,N,N,A,N,Y,N,N,N,Y,Y,Y,N,Y,A,N,Y,Y,0,male,11,21,31,41,53,mild,-2.0,2.0,Niche normie
D,0,0,N,Y,D,N,Y,A,D,Y,N,Y,Y,0,Y,N,Y,A,0,Y,Y,Y,Y,Y,N,Y,N,Y,0,0,N,0,0,male,11,21,31,41,53,snow,-1.0,-1.25,Lame normie
N,0,D,Y,0,D,N,Y,0,Y,Y,0,N,N,A,N,Y,N,A,A,N,N,N,Y,Y,Y,N,Y,N,D,N,N,Y,A,male,11,21,31,41,53,polar,-5.0,-5.75,Sperg
N,N,0,A,D,N,Y,N,Y,D,N,Y,0,N,D,Y,N,N,Y,D,N,N,N,N,Y,N,N,Y,Y,N,A,Y,Y,Y,male,11,21,31,41,54,tropical,-3.0,-1.5,Lame normie
A,D,Y,0,0,A,N,Y,0,Y,N,A,N,Y,Y,N,Y,Y,0,D,N,N,Y,N,Y,Y,Y,Y,Y,0,Y,Y,A,N,male,11,21,31,41,54,dry,0.0,4.75,Niche normie
0,D,Y,0,0,D,Y,Y,A,N,Y,Y,0,N,0,N,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,A,D,N,A,male,11,21,31,41,54,mild,-1.0,-1.25,Lame normie
A,N,0,A,D,D,N,N,N,D,Y,Y,Y,N,N,Y,Y,Y,0,N,N,Y,N,N,Y,N,Y,N,Y,A,D,D,D,0,male,11,21,31,41,54,snow,1.0,-1.0,Cool normie
A,0,Y,0,Y,N,N,Y,D,D,Y,A,N,Y,A,Y,N,Y,D,D,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,0,A,0,male,11,21,31,41,54,polar,-1.0,4.0,Niche normie
D,A,Y,Y,Y,D,N,Y,A,A,N,N,A,Y,N,N,Y,N,D,D,Y,Y,N,N,N,N,N,Y,N,Y,A,N,Y,A,male,11,21,31,42,51,tropical,-6.0,4.5,Failed normie
D,A,Y,0,D,N,N,N,D,Y,N,0,D,Y,N,N,N,N,N,D,N,Y,N,Y,Y,Y,N,N,N,A,D,Y,N,D,male,11,21,31,42,51,dry,-2.0,-4.5,Lame normie
0,Y,N,D,N,D,N,N,0,0,Y,0,A,N,0,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,N,Y,D,N,D,D,Y,male,11,21,31,42,51,mild,1.0,-3.75,Cool normie
Y,A,A,Y,A,A,Y,Y,Y,A,N,Y,N,Y,0,N,Y,Y,0,N,Y,Y,N,Y,Y,N,N,N,Y,Y,0,Y,0,N,male,11,21,31,42,51,snow,-3.0,8.75,Simp
A,D,0,N,Y,Y,N,N,0,Y,N,N,D,Y,Y,N,Y,Y,N,D,N,N,Y,Y,Y,Y,Y,N,N,A,D,0,Y,Y,male,11,21,31,42,51,polar,-2.0,1.0,Lame normie
A,D,N,0,D,A,N,N,0,A,Y,D,D,Y,D,N,Y,Y,0,D,Y,Y,N,N,N,Y,Y,N,Y,0,N,N,N,Y,male,11,21,31,42,52,tropical,-1.0,0.75,Lame normie
N,A,N,D,D,Y,Y,N,N,0,N,0,Y,Y,D,N,Y,N,A,Y,N,Y,Y,Y,Y,N,Y,Y,N,0,0,N,0,N,male,11,21,31,42,52,dry,-2.0,-4.5,Lame normie
N,N,0,N,0,Y,N,N,A,0,Y,D,D,N,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,Y,N,N,A,A,N,Y,male,11,21,31,42,52,mild,-3.0,-4.5,Lame normie
A,N,A,Y,0,D,Y,Y,0,A,N,D,A,N,0,Y,Y,N,D,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,0,N,Y,male,11,21,31,42,52,snow,-2.0,3.0,Niche normie
Y,Y,0,A,D,0,Y,Y,A,0,N,D,D,N,0,N,N,Y,0,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,D,N,Y,D,male,11,21,31,42,52,polar,-7.0,-1.25,Sperg
Y,A,A,A,N,N,Y,N,A,D,Y,0,A,Y,Y,Y,Y,Y,A,A,Y,Y,Y,N,Y,Y,Y,Y,N,Y,A,Y,N,Y,male,11,21,31,42,53,tropical,-2.0,4.5,Niche normie
D,N,D,0,0,A,N,Y,N,Y,N,A,N,N,A,Y,N,N,Y,D,N,N,N,N,N,N,N,Y,Y,D,D,0,A,D,male,11,21,31,42,53,dry,-4.0,-3.75,Sperg
D,A,A,0,0,Y,Y,Y,Y,Y,N,A,N,N,Y,Y,Y,N,D,N,Y,Y,Y,N,N,Y,Y,N,Y,A,A,D,Y,0,male,11,21,31,42,53,mild,0.0,4.75,Niche normie
N,0,A,0,0,A,N,Y,D,A,N,0,D,N,0,N,N,N,A,N,Y,Y,N,Y,Y,N,N,N,Y,A,N,0,A,N,male,11,21,31,42,53,snow,-3.0,-1.75,Lame normie
Y,0,D,0,N,Y,N,Y,D,Y,N,A,Y,N,Y,N,Y,Y,N,A,N,N,Y,N,Y,Y,N,Y,Y,D,N,0,D,Y,male,11,21,31,42,53,polar,-1.0,-2.0,Lame normie
D,Y,D,N,A,Y,Y,Y,A,N,Y,N,D,Y,D,N,Y,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,D,0,0,N,Y,male,11,21,31,42,54,tropical,-2.0,0.25,Lame normie
N,Y,A,A,Y,A,Y,Y,Y,0,Y,N,0,Y,0,N,N,Y,A,Y,Y,N,N,N,Y,Y,N,Y,Y,D,0,A,Y,0,male,11,21,31,42,54,dry,-4.0,4.25,Failed normie
A,Y,D,A,Y,Y,Y,N,Y,D,Y,A,0,Y,A,N,N,N,Y,A,Y,Y,Y,Y,Y,N,Y,Y,Y,D,0,Y,N,0,male,11,21,31,42,54,mild,-2.0,-1.75,Lame normie
0,0,N,A,Y,D,N,Y,0,A,N,Y,Y,Y,A,N,Y,N,A,0,Y,N,Y,N,Y,N,N,N,N,N,Y,Y,D,A,male,11,21,31,42,54,snow,-5.0,-0.75,Sperg
D,D,Y,N,D,0,Y,N,N,D,N,D,Y,Y,N,N,N,N,A,D,Y,Y,Y,N,N,Y,Y,N,Y,A,A,A,Y,A,male,11,21,31,42,54,polar,0.0,-5.25,Cool normie
0,Y,A,0,D,0,N,Y,N,Y,N,N,N,N,D,N,Y,Y,0,A,N,Y,N,Y,N,Y,Y,Y,Y,A,Y,Y,N,A,male,11,21,31,43,51,tropical,-1.0,0.25,Lame normie
N,A,0,A,D,A,Y,Y,A,D,Y,0,A,Y,N,N,N,N,A,D,N,N,Y,Y,N,N,N,N,Y,N,0,A,A,A,male,11,21,31,43,51,dry,-3.0,3.75,Niche normie
Y,A,D,0,N,0,N,Y,Y,A,Y,0,N,Y,Y,Y,N,N,D,N,Y,N,N,N,Y,N,Y,Y,Y,A,N,0,Y,A,male,11,21,31,43,51,mild,-4.0,3.5,Failed normie
A,Y,A,0,N,A,Y,Y,0,A,N,N,Y,N,Y,Y,N,N,A,D,Y,N,N,Y,Y,N,Y,Y,Y,0,D,D,Y,0,male,11,21,31,43,51,snow,-5.0,2.0,Failed normie
D,Y,N,D,D,Y,N,Y,A,N,Y,N,N,N,D,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,A,Y,A,N,male,11,21,31,43,51,polar,-6.0,0.75,Sperg
D,A,D,N,A,A,Y,N,D,N,Y,Y,D,Y,D,Y,N,N,A,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N,0,N,A,male,11,21,31,43,52,tropical,-2.0,-2.0,Lame normie
N,0,0,0,0,A,Y,Y,0,A,Y,N,N,Y,D,N,N,N,N,D,Y,Y,N,Y,Y,Y,N,Y,Y,D,N,A,Y,D,male,11,21,31,43,52,dry,-3.0,2.75,Niche normie
D,0,D,A,N,D,N,Y,Y,Y,Y,A,0,Y,N,N,Y,N,Y,A,N,N,Y,N,Y,N,N,Y,Y,A,0,D,A,A,male,11,21,31,43,52,mild,-2.0,-0.75,Lame normie
Y,D,N,D,N,D,N,Y,0,D,N,N,0,Y,0,N,N,Y,N,0,N,Y,N,Y,Y,Y,N,N,Y,D,D,0,N,Y,male,11,21,31,43,52,snow,0.0,-5.0,Cool normie
0,D,Y,N,N,D,N,N,Y,Y,N,0,D,Y,Y,Y,N,Y,D,D,Y,N,N,N,Y,Y,Y,Y,N,Y,N,A,A,Y,male,11,21,31,43,52,polar,-5.0,0.5,Sperg
A,A,Y,A,N,A,Y,Y,Y,0,N,Y,A,Y,N,Y,Y,N,A,D,Y,N,Y,Y,Y,Y,Y,Y,Y,0,Y,N,A,N,male,11,21,31,43,53,tropical,-3.0,6.75,Simp
0,Y,D,D,Y,Y,Y,N,A,0,Y,N,A,N,0,Y,Y,N,0,0,N,Y,N,Y,N,Y,N,N,Y,A,D,A,Y,N,male,11,21,31,43,53,dry,-1.0,0.0,Lame normie
0,A,0,D,N,0,N,Y,D,N,N,0,N,N,D,N,Y,N,A,D,N,Y,N,N,N,N,N,Y,Y,0,N,A,D,N,male,11,21,31,43,53,mild,-2.0,-3.75,Lame normie
N,N,D,N,D,D,Y,N,N,A,Y,N,A,Y,N,N,Y,Y,Y,A,N,Y,N,Y,N,N,N,Y,N,A,Y,D,A,A,male,11,21,31,43,53,snow,-5.0,-1.5,Sperg
A,N,N,Y,N,0,N,N,D,D,Y,Y,Y,N,N,Y,N,N,D,D,Y,N,Y,Y,N,N,N,Y,Y,D,D,Y,D,Y,male,11,21,31,43,53,polar,-6.0,-2.25,Sperg
A,N,D,0,Y,A,Y,N,A,A,Y,0,A,Y,A,Y,N,N,N,0,Y,Y,N,N,Y,N,Y,N,Y,D,N,D,Y,0,male,11,21,31,43,54,tropical,-1.0,2.0,Niche normie
A,0,A,N,A,D,N,N,Y,N,Y,D,N,Y,D,N,Y,N,0,Y,N,Y,Y,N,N,Y,N,N,Y,Y,N,D,0,Y,male,11,21,31,43,54,dry,1.0,-1.0,Cool normie
Y,N,Y,A,Y,N,Y,Y,A,Y,N,N,A,N,N,Y,Y,N,0,N,Y,N,Y,Y,Y,N,N,N,N,0,A,A,Y,D,male,11,21,31,43,54,mild,-6.0,4.25,Failed normie
Y,N,N,N,0,A,Y,Y,Y,Y,Y,Y,Y,Y,D,Y,Y,N,N,A,N,Y,N,Y,Y,N,N,N,Y,A,N,D,Y,D,male,11,21,31,43,54,snow,-1.0,3.25,Niche normie
A,A,D,A,D,D,Y,Y,D,N,N,Y,A,N,A,N,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,A,N,N,male,11,21,31,43,54,polar,-2.0,0.0,Lame normie
0,D,N,N,N,A,N,N,Y,A,N,Y,A,N,D,Y,Y,N,Y,D,N,Y,Y,N,Y,N,N,Y,Y,0,0,D,N,A,male,11,21,32,41,51,tropical,0.0,-0.25,Cool normie
D,A,N,Y,D,0,N,Y,A,N,Y,Y,D,N,0,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,N,N,0,Y,A,N,D,male,11,21,32,41,51,dry,-1.0,-0.5,Lame normie
D,D,Y,Y,N,Y,N,Y,A,N,Y,A,Y,N,0,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,A,N,D,A,male,11,21,32,41,51,mild,-4.0,1.5,Failed normie
A,N,N,Y,A,A,Y,N,D,A,N,N,N,N,0,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,Y,D,A,A,0,Y,male,11,21,32,41,51,snow,-4.0,2.5,Failed normie
D,A,Y,Y,D,0,N,Y,0,D,Y,0,N,Y,D,Y,N,N,A,A,N,Y,Y,N,Y,N,Y,Y,N,Y,D,N,0,N,male,11,21,32,41,51,polar,-1.0,-4.0,Lame normie
N,N,0,D,A,N,N,Y,N,N,Y,Y,N,N,0,Y,N,Y,D,A,N,Y,N,Y,N,Y,N,Y,Y,D,0,A,N,A,male,11,21,32,41,52,tropical,-1.5,-0.25,Lame normie
D,N,A,D,0,D,N,N,Y,D,Y,D,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,D,N,Y,male,11,21,32,41,52,dry,-6.5,-8.25,Wizard
Y,Y,Y,Y,D,0,N,N,Y,A,Y,0,0,N,D,N,N,N,Y,0,N,Y,Y,N,N,N,N,Y,N,0,N,N,D,A,male,11,21,32,41,52,mild,-2.5,-2.5,Lame normie
D,Y,0,D,0,A,N,Y,Y,N,N,0,0,Y,D,Y,N,N,D,0,N,N,N,N,N,Y,Y,N,Y,N,A,D,A,D,male,11,21,32,41,52,snow,-0.5,-0.25,Lame normie
A,D,N,Y,Y,A,Y,Y,A,A,Y,0,A,N,D,Y,Y,N,A,A,N,N,N,Y,N,N,Y,N,Y,A,Y,Y,Y,Y,male,11,21,32,41,52,polar,-2.5,4.75,Niche normie
A,0,0,0,N,D,Y,Y,D,N,Y,Y,0,Y,A,N,Y,Y,A,D,Y,Y,Y,N,N,N,N,N,N,N,Y,A,A,D,male,11,21,32,41,53,tropical,-3.0,1.75,Niche normie
A,0,N,D,Y,N,N,Y,D,N,Y,D,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,0,0,A,Y,male,11,21,32,41,53,dry,-2.0,-2.0,Lame normie
D,N,Y,D,N,0,Y,N,Y,N,Y,D,N,N,0,N,N,N,N,A,N,N,Y,N,Y,Y,N,N,N,D,A,N,0,D,male,11,21,32,41,53,mild,-1.0,-7.0,Edge Lord
A,D,Y,D,0,Y,Y,Y,D,N,N,Y,D,Y,N,Y,N,N,D,A,Y,N,Y,N,Y,Y,N,Y,N,D,Y,A,0,D,male,11,21,32,41,53,snow,-4.0,-2.0,Sperg
D,Y,A,N,A,Y,N,N,Y,N,Y,N,D,N,A,Y,Y,Y,Y,0,N,N,N,Y,Y,N,N,Y,Y,D,Y,0,0,0,male,11,21,32,41,53,polar,-3.0,0.0,Lame normie
Y,N,D,0,N,N,N,N,D,Y,Y,N,A,N,N,Y,Y,Y,Y,D,Y,Y,Y,N,Y,N,Y,N,N,0,D,N,A,A,male,11,21,32,41,54,tropical,-1.0,-0.5,Lame normie
D,0,N,Y,N,0,N,N,0,Y,Y,A,0,Y,A,Y,Y,N,A,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,A,A,N,0,male,11,21,32,41,54,dry,1.0,-1.5,Cool normie
Y,N,0,A,A,N,Y,Y,N,N,N,A,N,N,N,N,Y,N,Y,D,N,Y,Y,N,N,Y,Y,N,N,A,N,A,0,A,male,11,21,32,41,54,mild,1.0,2.75,Normie
0,D,D,Y,A,A,N,N,A,0,N,D,Y,N,N,Y,N,N,Y,D,Y,Y,N,N,N,N,Y,N,N,Y,Y,Y,Y,0,male,11,21,32,41,54,snow,-3.0,-1.25,Lame normie
N,Y,0,D,N,A,N,N,0,N,N,Y,D,Y,D,Y,N,Y,0,D,Y,Y,Y,N,N,Y,Y,Y,Y,0,D,Y,0,Y,male,11,21,32,41,54,polar,0.0,0.25,Cool normie
0,A,0,A,A,A,Y,N,D,Y,Y,Y,0,N,D,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,0,0,N,male,11,21,32,42,51,tropical,3.0,4.75,Normie
N,Y,0,0,Y,Y,Y,Y,N,A,Y,0,0,N,N,N,N,N,A,N,N,N,N,Y,N,N,Y,N,Y,A,D,A,A,A,male,11,21,32,42,51,dry,-2.0,1.25,Niche normie
Y,D,A,N,D,0,Y,Y,A,0,Y,A,A,N,N,N,Y,N,N,Y,N,N,Y,N,Y,N,N,N,Y,Y,D,D,A,D,male,11,21,32,42,51,mild,0.0,1.0,Cool normie
0,N,A,Y,A,D,Y,N,D,N,Y,Y,A,Y,D,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,Y,N,A,Y,D,A,0,male,11,21,32,42,51,snow,-4.0,1.25,Failed normie
N,Y,Y,0,N,D,N,Y,Y,N,Y,Y,D,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,D,A,D,0,0,male,11,21,32,42,51,polar,-7.0,1.25,Failed normie
D,N,A,Y,D,Y,Y,N,Y,D,Y,A,N,Y,A,Y,Y,Y,A,A,Y,Y,Y,Y,Y,N,N,Y,N,0,D,N,N,N,male,11,21,32,42,52,tropical,-4.0,-1.75,Sperg
A,A,A,0,A,N,Y,N,Y,A,N,D,N,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,Y,A,D,D,0,0,male,11,21,32,42,52,dry,-2.0,2.25,Niche normie
D,D,Y,D,N,0,Y,N,0,D,N,Y,0,Y,0,Y,Y,N,Y,A,Y,Y,N,Y,Y,N,Y,N,N,Y,N,D,D,D,male,11,21,32,42,52,mild,-3.0,-7.25,Edge Lord
A,0,0,0,D,N,Y,N,N,D,N,Y,0,N,A,Y,Y,Y,D,A,N,N,Y,Y,N,N,Y,N,N,A,D,A,Y,N,male,11,21,32,42,52,snow,-3.0,-1.0,Lame normie
A,N,Y,A,N,0,N,N,Y,N,N,0,N,N,A,N,Y,N,N,0,N,Y,N,N,Y,N,Y,Y,N,D,A,D,D,N,male,11,21,32,42,52,polar,-1.0,-3.0,Lame normie
A,D,A,Y,D,D,Y,N,Y,D,N,A,0,Y,N,N,Y,Y,0,Y,N,N,N,N,N,Y,N,N,N,D,A,0,N,0,male,11,21,32,42,53,tropical,-3.0,-0.25,Lame normie
A,0,0,A,Y,N,Y,N,N,Y,N,0,N,Y,D,Y,N,Y,Y,D,N,N,Y,N,N,Y,Y,N,N,Y,N,N,0,0,male,11,21,32,42,53,dry,-1.0,2.75,Niche normie
N,0,A,N,N,D,Y,N,Y,N,Y,D,N,Y,Y,N,N,Y,0,D,Y,N,N,N,N,Y,Y,N,N,N,A,Y,N,D,male,11,21,32,42,53,mild,-4.0,-0.75,Sperg
A,0,Y,A,N,D,N,N,D,Y,Y,A,Y,Y,A,Y,N,Y,A,A,Y,Y,N,Y,N,Y,Y,Y,Y,0,A,N,A,Y,male,11,21,32,42,53,snow,-2.0,0.5,Lame normie
A,N,N,N,Y,D,N,Y,0,N,Y,Y,0,Y,Y,Y,Y,Y,0,N,Y,N,N,Y,Y,Y,N,N,N,N,0,Y,D,D,male,11,21,32,42,53,polar,-5.0,1.75,Failed normie
A,Y,0,0,Y,Y,Y,N,D,D,Y,D,A,Y,D,Y,N,Y,Y,0,N,N,N,N,Y,N,Y,N,N,D,A,N,0,N,male,11,21,32,42,54,tropical,-2.0,0.25,Lame normie
N,D,A,Y,Y,D,N,Y,0,D,Y,D,N,Y,D,N,N,Y,A,N,N,N,Y,N,Y,Y,Y,N,Y,D,A,A,Y,Y,male,11,21,32,42,54,dry,2.0,-1.0,Cool normie
N,Y,Y,N,0,A,Y,Y,A,Y,Y,D,0,N,0,Y,Y,N,0,D,N,Y,N,N,N,Y,Y,N,N,N,Y,A,D,N,male,11,21,32,42,54,mild,0.0,3.0,Niche normie
N,N,D,0,D,A,N,N,A,Y,N,N,N,Y,0,N,N,N,D,N,Y,Y,Y,Y,N,N,N,N,Y,A,N,Y,N,0,male,11,21,32,42,54,snow,-2.0,-2.5,Lame normie
Y,0,Y,D,A,D,Y,Y,A,N,Y,Y,0,N,0,N,Y,N,N,D,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,A,0,A,male,11,21,32,42,54,polar,0.0,3.0,Niche normie
A,A,A,0,N,0,Y,Y,D,A,N,0,N,Y,D,Y,N,Y,Y,A,Y,Y,N,N,Y,Y,Y,N,N,A,0,Y,D,Y,male,11,21,32,43,51,tropical,-1.0,4.0,Niche normie
D,N,D,0,N,D,Y,N,A,Y,Y,0,0,Y,Y,N,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,A,Y,Y,N,male,11,21,32,43,51,dry,1.0,0.0,Cool normie
A,D,Y,N,N,Y,N,N,0,A,Y,D,Y,Y,N,Y,N,Y,Y,D,Y,Y,N,Y,Y,N,N,Y,Y,A,Y,Y,Y,D,male,11,21,32,43,51,mild,-3.0,2.25,Niche normie
Y,D,A,A,A,D,N,N,D,0,N,A,N,Y,N,Y,N,N,A,0,Y,Y,N,Y,N,N,Y,Y,Y,A,Y,0,Y,Y,male,11,21,32,43,51,snow,-3.0,-1.0,Lame normie
0,N,Y,Y,N,A,N,Y,N,Y,Y,0,A,Y,D,Y,Y,N,D,N,Y,N,Y,Y,N,N,Y,Y,Y,0,Y,A,A,D,male,11,21,32,43,51,polar,-4.0,5.0,Failed normie
D,A,D,Y,A,Y,N,Y,N,D,N,A,D,Y,D,N,N,Y,0,N,N,Y,Y,N,N,Y,N,Y,N,A,0,Y,D,Y,male,11,21,32,43,52,tropical,-1.0,1.0,Lame normie
D,A,0,Y,A,A,N,N,N,A,N,0,Y,Y,N,N,Y,N,D,0,Y,N,Y,N,Y,N,Y,N,Y,D,A,N,N,0,male,11,21,32,43,52,dry,-1.0,1.25,Niche normie
A,N,N,N,Y,Y,N,Y,Y,A,N,Y,A,N,Y,Y,N,N,D,N,N,N,Y,N,Y,Y,N,Y,Y,Y,A,N,A,N,male,11,21,32,43,52,mild,0.0,3.0,Niche normie
N,Y,A,Y,Y,A,N,Y,Y,0,Y,Y,D,N,0,Y,Y,Y,D,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,A,A,A,N,male,11,21,32,43,52,snow,0.0,6.25,Simp
N,A,0,0,0,N,Y,N,0,A,N,A,D,N,D,Y,Y,N,0,0,N,N,N,N,Y,N,N,N,N,Y,D,A,0,D,male,11,21,32,43,52,polar,-3.0,0.75,Lame normie
Y,D,Y,0,N,0,Y,N,A,D,N,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,D,Y,0,A,A,male,11,21,32,43,53,tropical,-4.0,0.25,Sperg
A,A,0,D,0,N,Y,Y,0,N,N,N,D,Y,A,Y,N,Y,D,Y,Y,N,N,N,N,N,Y,N,Y,D,0,A,0,N,male,11,21,32,43,53,dry,-3.0,1.5,Niche normie
D,D,Y,Y,0,A,N,Y,0,A,N,D,Y,N,Y,N,Y,Y,N,A,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,D,0,A,male,11,21,32,43,53,mild,1.0,-1.0,Cool normie
