Do you want to be in society?,Do you make an attempt to socialise?,Do you consume things to alter your perspective? (Alcohol and stuff),Are you depressed?,Do you try to improve yourself?,Would you compromise with a friend?,If you and another person were both thirsty and you only had enough water for one person; would you share with the other person?,If a colleague invited you to do something with them; how would you answer? (Date; hang-out; party; etc.),Are you anxious of social interaction?,Do you think you fit in with other people?,Do you shower more than twice a week?,Do you take care of your appearance? (shaving; hair styling; make up; fashion; etc.),Do you talk back in equal volume to someone that is talking to you? (Talking as much as they are to you and amplitude of voice),Which is more difficult?,Does it seem unrealistic to imagine yourself with another person in an intimate context? (Girlfriend; best friends; etc),Do you have long term goals?,Would you rather work in food service; or be unemployed?,You've lived a life with many moments where you regret doing nothing.,Is it reasonable to think that the majority of people are dumb?,Have you given up?,Are you currently celibate? (No sex for a while),Do you live your life by your own volition?,Can you look people in the eyes without discomfort?,Has anyone ever described you as awkward; autistic; weird; etc.?,Do you currently have a romantic partner? (Unrequited(crushes); non-exclusive and/or non-monogamous relationships DO NOT count),Do you currently have a medium for socialization? (Social media; work; etc.),Do you talk to people on a regular basis? (Internet stuff doesn't count),Do you have unconventional interests? (Anime; collecting specific items; weird fetishes; etc.),Are you currently in education; training or employment?,Are you good at speaking?,Is your family proud of you?,Do people usually like being around you?,Can you transport yourself easily?,Are you physically in-shape?,What is your biological sex?,How tall are you?,How attractive are you (from 0 to 10),What is your BMI?,How many friends and colleagues do you currently have?,Rate your life right now.,Which climate do you live in?,X,Y
A,Y,N,A,0,A,Y,Y,A,N,Y,N,A,N,Y,Y,Y,N,A,N,Y,Y,Y,Y,N,N,Y,Y,N,0,Y,N,0,A,male,12,21,32,41,54,dry,-4,4.75
N,Y,D,N,N,0,N,Y,A,D,Y,D,0,N,0,Y,N,N,Y,D,Y,N,Y,Y,N,N,N,N,Y,D,Y,Y,Y,D,othersex,11,24,33,41,52,snow,-3.5,-3.25
A,D,D,A,N,A,Y,N,Y,0,Y,N,Y,N,0,N,Y,Y,D,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,Y,A,A,male,13,22,31,43,52,tropical,-3,4
Y,N,0,A,A,0,Y,Y,N,0,N,0,Y,Y,D,N,Y,Y,D,D,N,Y,Y,Y,Y,N,Y,Y,Y,D,N,Y,N,N,male,14,22,33,41,51,tropical,0,5.25
A,D,D,N,D,Y,N,N,N,N,N,Y,N,Y,A,N,N,N,A,N,Y,N,N,Y,N,N,N,Y,N,Y,A,D,0,D,female,11,21,31,43,51,dry,-5.5,-7.5
N,N,D,N,Y,D,Y,N,0,Y,Y,A,Y,N,Y,Y,Y,Y,0,Y,N,Y,Y,Y,Y,Y,Y,N,Y,0,Y,N,D,N,othersex,14,24,34,41,51,polar,3,-1
D,Y,D,N,A,D,N,Y,0,A,N,0,N,N,N,Y,N,N,A,A,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,0,0,othersex,14,22,32,43,53,tropical,2,-5.25
D,A,0,A,D,Y,N,Y,N,0,Y,N,A,Y,A,N,Y,Y,D,Y,Y,Y,Y,N,Y,N,Y,Y,N,0,0,A,Y,D,female,15,22,34,41,51,mild,-1.5,2.25
Y,N,A,Y,Y,A,Y,N,0,D,N,D,D,Y,A,Y,Y,N,0,D,Y,N,N,Y,Y,N,N,N,Y,Y,Y,0,D,A,male,11,22,33,43,52,dry,-5,0.5
Y,Y,N,N,0,Y,N,N,A,Y,Y,N,D,N,N,N,N,N,0,A,N,Y,Y,Y,N,N,Y,Y,Y,A,Y,N,Y,0,othersex,11,22,33,42,51,dry,1,-2.75
0,Y,A,A,A,Y,N,Y,Y,Y,Y,D,D,N,D,N,Y,N,A,0,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,female,13,24,33,43,51,tropical,-0.5,1
D,N,N,0,N,D,N,N,N,Y,Y,A,D,Y,A,Y,Y,Y,A,Y,Y,N,Y,N,N,N,Y,N,Y,D,0,N,D,D,male,14,22,32,41,54,mild,-1,-4.75
N,D,A,0,D,A,Y,N,N,0,N,N,N,Y,A,N,N,Y,0,N,N,N,N,Y,N,Y,Y,N,N,0,0,N,0,Y,female,12,23,32,43,51,dry,1.5,-1.75
Y,D,0,A,A,D,Y,N,A,A,Y,Y,A,Y,D,N,Y,N,N,D,Y,N,Y,Y,N,N,Y,N,N,A,D,N,0,N,othersex,15,24,33,42,53,polar,-4,4
N,A,0,0,N,D,N,N,Y,D,Y,0,A,Y,0,N,Y,Y,N,0,N,N,Y,Y,N,Y,Y,N,N,Y,A,Y,A,N,male,15,23,34,42,52,polar,0,1.75
D,A,Y,D,N,A,Y,N,A,A,N,D,0,N,A,N,Y,Y,0,Y,N,Y,Y,N,Y,Y,N,Y,N,0,Y,N,A,D,male,12,24,34,43,53,snow,1,-0.5
N,A,N,A,0,D,Y,N,N,Y,Y,0,0,Y,A,N,Y,Y,0,0,N,Y,Y,N,N,N,Y,N,N,N,0,Y,D,N,female,14,21,31,41,51,polar,-0.5,0.5
0,0,Y,0,D,D,Y,N,A,A,Y,N,0,N,0,Y,N,N,D,A,N,N,N,N,Y,N,N,Y,N,0,D,Y,N,D,othersex,13,21,31,43,51,snow,-2,-2.5
A,Y,A,0,A,N,N,Y,N,A,Y,A,D,Y,0,N,Y,N,A,0,Y,N,Y,N,Y,Y,N,Y,N,N,N,D,N,N,othersex,14,23,31,41,52,snow,-2.5,1.5
D,Y,D,A,0,D,N,N,0,D,N,N,A,Y,Y,Y,N,N,N,D,N,N,Y,N,N,N,Y,Y,N,0,A,A,A,Y,othersex,12,23,34,42,51,snow,-2,-2
N,0,Y,D,A,D,Y,N,N,D,N,Y,0,Y,D,Y,Y,Y,A,Y,N,Y,N,Y,N,N,N,Y,N,0,Y,N,0,D,male,12,22,34,43,53,tropical,-5,-2.25
N,D,A,D,A,N,Y,N,N,0,Y,D,N,N,0,Y,Y,Y,0,D,N,Y,N,Y,N,Y,N,Y,Y,N,A,D,A,Y,female,15,22,33,41,52,snow,0,0.75
0,D,N,A,0,D,N,Y,D,D,N,A,Y,Y,D,Y,N,Y,N,D,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,A,0,A,male,12,24,34,43,54,polar,-2,2
Y,A,A,D,Y,A,N,N,D,N,Y,N,A,Y,A,N,Y,N,D,Y,Y,N,N,Y,N,Y,N,N,N,D,N,Y,0,N,male,12,21,32,43,52,dry,-6,-0.75
D,Y,Y,N,A,A,Y,Y,D,N,N,Y,0,Y,A,N,Y,N,0,A,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,A,D,othersex,12,23,31,43,51,dry,3,-0.5
A,A,A,N,A,N,N,N,0,N,N,A,0,Y,N,Y,N,N,A,Y,Y,N,Y,N,N,Y,N,N,N,A,0,D,0,D,male,14,21,33,43,54,snow,-4,0
D,N,Y,A,D,D,Y,N,N,N,Y,N,N,N,Y,Y,Y,N,0,A,N,N,N,Y,Y,Y,Y,Y,N,0,D,A,D,0,male,11,21,32,41,52,mild,-3.5,-5.5
N,D,N,A,Y,D,Y,Y,N,A,N,A,N,N,A,Y,Y,N,A,N,Y,Y,N,Y,N,N,N,Y,Y,Y,A,N,N,D,female,11,23,32,43,53,tropical,0.5,-1.25
A,N,Y,0,A,Y,Y,Y,0,Y,Y,N,N,N,D,N,N,Y,A,D,N,Y,N,Y,Y,Y,Y,N,Y,D,Y,Y,0,0,male,15,23,33,41,51,snow,3,3.5
A,N,N,D,Y,A,Y,N,D,D,N,0,D,N,0,Y,Y,Y,A,0,N,N,N,N,Y,Y,N,N,Y,N,D,D,A,D,othersex,12,22,31,41,51,mild,1,-3.5
D,A,Y,D,N,Y,Y,N,Y,D,N,0,A,Y,N,N,Y,Y,N,0,N,Y,Y,N,N,N,Y,N,N,0,D,0,A,Y,female,15,21,34,41,54,snow,-0.5,0.75
A,N,Y,N,D,A,Y,N,Y,0,Y,D,A,N,D,Y,Y,N,N,D,N,N,N,N,N,Y,Y,Y,N,D,Y,N,A,Y,othersex,15,23,34,43,51,tropical,-2,2.5
D,0,Y,N,A,D,N,N,D,D,Y,0,Y,N,A,Y,Y,N,N,0,Y,N,N,Y,N,N,N,Y,Y,N,Y,A,N,N,othersex,13,23,34,42,53,snow,-5,-4.25
D,N,D,N,Y,D,N,Y,N,N,Y,N,0,N,0,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,A,0,N,Y,A,othersex,13,21,33,41,51,snow,-1,-4.25
A,0,0,N,Y,0,N,Y,D,Y,Y,0,Y,N,Y,N,N,N,0,Y,N,Y,Y,Y,N,N,N,Y,N,0,N,N,0,D,male,15,24,32,42,54,dry,0,-3.25
N,0,N,Y,D,Y,Y,Y,N,A,N,A,D,Y,A,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,A,D,A,Y,Y,male,14,22,32,43,52,polar,4,2.5
N,0,A,Y,N,D,N,N,A,0,N,Y,A,N,A,Y,N,N,0,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,D,D,0,othersex,11,23,33,43,53,dry,-1,-2.5
D,Y,N,D,N,N,Y,Y,D,0,N,0,0,Y,A,Y,N,N,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,D,A,D,D,D,male,12,21,31,43,51,tropical,1,-5.5
N,0,D,N,A,N,N,Y,N,A,N,A,Y,N,N,Y,N,N,0,0,Y,Y,N,N,N,Y,Y,N,Y,0,D,0,A,Y,female,15,21,31,43,52,mild,0.5,-0.5
A,A,N,D,A,N,N,N,D,A,Y,Y,Y,Y,A,N,Y,Y,0,0,N,Y,Y,N,N,Y,N,N,N,0,Y,A,Y,Y,female,12,22,33,42,53,polar,3.5,3.25
D,0,Y,0,0,0,N,N,0,D,Y,N,A,N,Y,N,N,N,Y,0,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,0,D,othersex,13,24,32,43,53,tropical,0,-6
D,D,Y,N,N,0,Y,Y,Y,D,Y,0,0,Y,0,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,0,Y,D,N,D,othersex,11,24,32,43,51,polar,3,-2.75
N,N,D,Y,0,D,Y,N,N,N,Y,D,0,Y,Y,N,N,Y,Y,A,Y,N,N,Y,Y,N,N,Y,N,0,D,N,D,D,othersex,11,23,33,41,53,polar,-6,-7
D,D,N,N,N,Y,N,Y,N,A,Y,D,D,N,D,Y,N,Y,0,A,N,Y,N,Y,Y,Y,N,Y,Y,A,N,A,N,A,female,15,24,34,42,52,polar,1.5,-2
D,0,0,A,D,N,N,Y,N,0,Y,Y,Y,Y,0,N,Y,N,0,D,N,N,N,N,N,Y,N,N,Y,Y,N,0,N,Y,female,13,23,31,41,53,polar,1.5,-0.25
D,A,N,0,N,0,Y,Y,Y,D,N,A,Y,N,N,Y,N,Y,A,D,N,N,Y,Y,Y,Y,Y,N,Y,N,N,D,A,A,othersex,14,22,33,43,53,snow,2,1.5
