Do you want to be in society?,Do you make an attempt to socialise?,Do you consume things to alter your perspective? (Alcohol and stuff),Are you depressed?,Do you try to improve yourself?,Would you compromise with a friend?,If you and another person were both thirsty and you only had enough water for one person; would you share with the other person?,If a colleague invited you to do something with them; how would you answer? (Date; hang-out; party; etc.),Are you anxious of social interaction?,Do you think you fit in with other people?,Do you shower more than twice a week?,Do you take care of your appearance? (shaving; hair styling; make up; fashion; etc.),Do you talk back in equal volume to someone that is talking to you? (Talking as much as they are to you and amplitude of voice),Which is more difficult?,Does it seem unrealistic to imagine yourself with another person in an intimate context? (Girlfriend; best friends; etc),Do you have long term goals?,Would you rather work in food service; or be unemployed?,You've lived a life with many moments where you regret doing nothing.,Is it reasonable to think that the majority of people are dumb?,Have you given up?,Are you currently celibate? (No sex for a while),Do you live your life by your own volition?,Can you look people in the eyes without discomfort?,Has anyone ever described you as awkward; autistic; weird; etc.?,Do you currently have a romantic partner? (Unrequited(crushes); non-exclusive and/or non-monogamous relationships DO NOT count),Do you currently have a medium for socialization? (Social media; work; etc.),Do you talk to people on a regular basis? (Internet stuff doesn't count),Do you have unconventional interests? (Anime; collecting specific items; weird fetishes; etc.),Are you currently in education; training or employment?,Are you good at speaking?,Is your family proud of you?,Do people usually like being around you?,Can you transport yourself easily?,Are you physically in-shape?,X,Y
D,N,0,N,A,N,Y,Y,0,N,N,Y,Y,Y,N,Y,N,N,Y,0,N,N,N,N,N,Y,N,Y,Y,0,D,0,A,Y,-4,-0.5
Y,0,A,N,Y,D,N,Y,A,D,N,D,N,Y,0,N,N,N,0,N,N,Y,N,Y,N,N,Y,Y,Y,D,N,Y,N,0,-3,-3.25
D,Y,N,0,D,A,N,N,D,D,Y,A,0,Y,0,N,N,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,D,N,D,-8,-7.25
N,0,A,Y,A,D,N,N,Y,D,N,Y,Y,N,A,N,N,Y,Y,N,Y,N,N,Y,N,N,Y,Y,Y,Y,A,D,Y,0,-7,-1.5
Y,0,N,Y,Y,A,Y,Y,N,0,Y,N,0,N,0,Y,Y,N,0,Y,Y,Y,Y,Y,N,Y,Y,N,N,D,Y,D,N,N,-4,0
A,A,A,D,Y,Y,Y,Y,Y,0,N,D,0,Y,D,N,N,Y,0,A,N,N,Y,Y,N,N,N,N,Y,N,A,0,0,0,-4,2.75
Y,A,D,0,A,D,Y,Y,N,Y,N,Y,0,Y,N,N,N,N,0,Y,N,Y,Y,Y,N,N,N,Y,Y,0,Y,D,N,A,-3,-1
D,0,0,A,D,0,Y,Y,0,Y,Y,D,D,N,0,Y,N,N,Y,0,Y,Y,N,Y,N,N,Y,Y,Y,N,D,Y,Y,0,-5,-3
0,N,D,0,Y,D,Y,Y,N,0,N,D,N,N,0,Y,N,N,A,D,N,Y,N,N,Y,N,Y,Y,N,N,0,0,Y,Y,-3,-4.5
N,N,0,N,0,Y,Y,N,0,0,N,A,Y,N,D,N,Y,N,Y,N,N,N,N,Y,Y,N,Y,N,N,A,0,0,D,0,-5,-1.25
A,D,0,N,A,0,Y,N,N,A,N,N,D,N,D,Y,N,N,A,0,Y,Y,Y,N,N,N,Y,N,N,0,A,0,0,A,-4,-1.5
D,D,Y,Y,0,0,N,Y,D,D,Y,D,D,Y,0,N,Y,N,0,A,Y,N,Y,N,N,N,Y,Y,N,A,A,Y,N,0,-7,-5
D,Y,A,0,N,Y,Y,Y,Y,A,Y,0,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,N,0,A,0,A,D,-4,6.25
N,N,0,D,Y,0,N,N,A,0,Y,0,0,N,A,N,N,N,0,D,Y,Y,N,Y,N,Y,N,Y,N,A,Y,0,Y,A,-7,-1.75
Y,D,A,D,A,D,N,N,A,D,Y,0,A,N,N,N,Y,N,A,D,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,0,D,0,-3,-3
Y,Y,D,D,0,N,Y,N,D,0,N,A,Y,N,N,N,Y,Y,0,N,N,Y,N,Y,Y,N,N,N,N,0,A,D,A,Y,-4,-0.5
A,A,0,N,Y,D,N,N,0,D,Y,0,A,N,N,N,N,Y,A,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,A,A,N,A,-4,0.25
D,N,N,N,Y,N,N,Y,N,0,N,D,N,N,0,Y,N,Y,Y,0,Y,N,Y,N,Y,N,N,N,N,D,N,A,0,A,-6,-3.75
0,N,0,Y,D,0,Y,N,Y,D,Y,0,N,Y,N,Y,Y,Y,0,A,Y,N,N,Y,Y,Y,Y,N,N,0,Y,Y,0,Y,-6,0.75
N,A,0,0,N,0,N,Y,A,D,N,Y,N,Y,0,N,N,N,Y,A,Y,Y,Y,N,N,Y,Y,Y,Y,N,D,A,D,Y,-2,-3.5
N,Y,D,N,A,0,N,Y,N,Y,Y,A,A,N,Y,N,Y,N,A,Y,Y,Y,N,Y,N,N,N,N,N,D,D,0,N,A,-7,-2.5
Y,D,A,D,D,A,N,Y,D,0,Y,D,D,N,N,N,N,N,0,A,N,Y,N,N,Y,N,N,N,N,A,N,Y,0,0,-3,-5.5
N,D,Y,Y,N,N,Y,Y,A,Y,Y,N,A,N,A,N,Y,Y,A,A,N,N,Y,Y,N,N,N,N,Y,N,D,A,0,A,-4,0
A,N,0,D,D,D,Y,N,D,0,N,0,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,A,D,N,N,N,-3,-7.5
N,D,A,Y,D,D,Y,Y,N,Y,N,0,Y,Y,D,Y,Y,N,N,A,Y,N,N,N,N,N,N,N,Y,0,A,Y,N,D,-6,-1
N,N,D,N,Y,0,N,Y,Y,A,Y,Y,0,Y,N,N,N,N,0,N,N,Y,N,Y,Y,Y,Y,N,N,0,A,0,A,0,-2,1
0,Y,D,D,A,0,Y,Y,Y,N,N,0,A,N,A,Y,Y,Y,A,A,Y,Y,N,Y,Y,N,N,Y,N,0,N,D,Y,A,-7,-0.5
0,D,N,Y,N,N,N,Y,A,A,Y,N,0,Y,0,Y,N,Y,N,A,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,Y,0,-4,2.25
N,0,0,0,Y,0,Y,N,Y,D,Y,Y,Y,Y,D,N,Y,N,A,A,Y,N,Y,Y,N,Y,N,N,Y,A,N,N,N,Y,-5,-2
0,A,D,N,0,D,N,N,0,0,Y,A,D,N,A,Y,N,N,D,0,N,Y,Y,N,Y,Y,Y,Y,N,0,D,0,Y,Y,-1,-2.75
Y,Y,0,A,Y,N,N,Y,A,D,N,Y,A,Y,Y,N,N,Y,D,0,Y,N,Y,N,N,N,Y,Y,Y,N,A,N,A,D,-5,3
Y,N,0,Y,0,0,Y,Y,Y,A,Y,Y,0,N,D,N,Y,N,0,D,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,D,-7,3
D,0,Y,0,D,A,N,Y,0,N,Y,A,Y,N,Y,Y,N,Y,N,0,Y,Y,Y,N,N,Y,N,N,N,D,A,D,0,D,-4,0.5
0,A,0,N,A,N,N,Y,0,Y,N,A,D,N,Y,Y,N,N,0,A,N,Y,Y,N,Y,Y,N,Y,N,0,0,D,A,A,-2,-0.5
N,D,N,0,N,0,Y,Y,D,0,N,N,D,Y,0,Y,Y,Y,D,N,N,N,Y,Y,N,Y,Y,Y,Y,N,A,0,D,A,-3,1.25
0,D,D,D,D,0,N,Y,A,N,Y,0,Y,Y,A,Y,N,Y,D,Y,N,N,N,Y,Y,N,Y,Y,N,Y,D,Y,D,A,-6,-1
Y,D,N,N,Y,A,Y,Y,0,A,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,A,0,0,A,0,-2,-1.25
Y,D,0,0,N,A,Y,N,A,A,Y,N,D,Y,A,N,Y,Y,0,D,Y,N,N,N,Y,N,N,N,N,A,0,D,Y,0,-7,3.5
N,0,0,Y,A,0,N,Y,Y,Y,Y,Y,A,Y,A,N,Y,Y,N,0,Y,N,Y,N,Y,N,Y,N,Y,0,A,N,D,D,-3,3.75
0,Y,N,Y,Y,0,Y,N,D,D,N,0,A,N,A,N,N,Y,D,0,N,N,Y,N,Y,Y,N,N,N,D,0,N,D,0,-3,-3.25
Y,0,N,Y,Y,Y,N,N,Y,D,Y,D,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,A,Y,A,-3,-1
A,0,D,0,Y,N,N,Y,N,D,Y,N,0,Y,A,Y,N,Y,Y,D,Y,N,N,Y,N,N,Y,N,Y,D,0,N,N,N,-6,-1
A,D,A,0,Y,D,N,Y,D,Y,N,Y,0,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,0,D,D,A,A,-2,-0.5
N,N,N,A,D,A,N,Y,0,0,N,D,N,Y,N,Y,Y,N,A,N,N,N,Y,Y,Y,N,N,N,N,N,0,D,A,A,-5,-1
Y,Y,D,Y,0,Y,N,N,0,Y,N,Y,A,N,Y,Y,Y,Y,D,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,D,D,Y,-2,0.5
N,A,D,0,N,D,N,Y,0,D,Y,A,Y,N,A,Y,Y,Y,Y,A,Y,Y,Y,N,Y,N,Y,Y,N,A,Y,D,A,N,-4,-0.75
Y,A,0,D,Y,A,Y,N,D,D,Y,N,N,Y,N,Y,Y,N,D,D,Y,Y,Y,N,N,N,N,Y,N,D,N,Y,N,Y,-6,1.25
A,0,0,D,A,N,N,Y,D,N,N,A,0,N,0,Y,Y,Y,N,D,N,N,Y,N,N,Y,Y,N,Y,A,N,D,0,0,-1,2.75
A,D,D,N,A,0,Y,N,D,0,N,N,N,Y,D,Y,Y,N,N,A,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,0,N,N,-1,-3.25
Y,Y,0,A,0,N,N,Y,Y,A,N,A,0,N,0,N,N,N,N,A,N,Y,N,Y,Y,N,Y,Y,Y,A,D,N,Y,A,-2,0.75
N,D,N,D,A,D,Y,Y,0,N,Y,0,A,N,N,Y,Y,Y,N,A,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,A,A,A,N,-3,2
0,Y,D,N,0,0,N,Y,0,D,N,A,0,Y,Y,Y,Y,Y,0,A,Y,N,N,Y,Y,Y,N,Y,N,A,N,A,0,N,-8,0.25
A,A,N,0,Y,N,N,N,N,N,Y,N,Y,N,N,Y,Y,N,N,0,N,Y,Y,N,N,N,Y,N,N,N,A,A,0,D,-2,0.5
D,0,A,0,D,A,N,Y,A,Y,Y,Y,0,N,A,Y,N,Y,D,Y,Y,Y,Y,N,N,Y,Y,Y,N,A,0,N,A,Y,-4,3.5
A,Y,0,A,Y,D,N,N,N,0,N,Y,0,N,N,Y,Y,N,A,0,Y,N,Y,Y,N,Y,Y,Y,N,A,Y,A,0,A,-7,-0.25
N,A,N,A,N,A,N,N,N,A,Y,D,Y,Y,Y,N,N,Y,0,N,N,N,N,Y,Y,N,Y,Y,Y,N,A,A,N,A,-4,2.75
D,A,0,D,0,N,N,N,Y,D,N,D,0,Y,N,Y,N,Y,D,N,N,N,Y,Y,N,N,Y,N,Y,N,N,A,N,N,-3,-2
A,D,A,A,A,A,Y,N,D,0,Y,Y,0,N,0,Y,N,N,A,D,N,N,Y,N,N,Y,N,Y,Y,Y,D,0,0,0,-3,1.5
N,A,Y,Y,N,D,Y,N,N,N,N,A,0,N,0,Y,N,N,0,N,N,N,Y,Y,N,Y,N,Y,Y,D,0,N,D,N,-4,-3.25
N,0,N,D,N,A,N,Y,D,A,N,0,N,N,A,Y,N,N,D,0,N,Y,Y,Y,Y,Y,Y,Y,Y,A,N,N,N,A,0,-2.25
A,D,N,Y,A,A,N,Y,N,A,Y,N,0,Y,N,N,N,Y,D,D,N,Y,Y,Y,N,Y,N,N,N,A,Y,0,0,0,-3,6.25
N,A,N,Y,D,A,N,Y,A,D,Y,A,Y,N,D,Y,Y,Y,D,A,Y,Y,N,N,Y,Y,N,N,Y,Y,0,0,Y,Y,-2,5.25
D,0,Y,N,N,N,Y,N,Y,0,N,A,A,Y,D,Y,N,N,0,A,Y,N,N,Y,N,Y,N,N,Y,0,N,Y,A,0,-6,-1
A,0,Y,A,N,D,Y,N,Y,Y,N,A,D,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,A,A,N,Y,Y,-4,0.75
D,N,A,N,D,0,Y,Y,Y,A,Y,A,N,Y,0,Y,N,N,D,A,N,N,Y,Y,Y,N,N,Y,N,D,N,A,Y,A,-6,2.25
N,N,D,0,0,N,Y,Y,D,N,Y,A,D,N,0,Y,N,N,D,A,Y,N,N,N,Y,N,Y,N,Y,N,0,D,Y,Y,-4,-2.75
D,A,D,Y,0,0,N,Y,Y,N,N,D,D,N,0,N,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,N,0,0,Y,Y,D,-7,-2
N,0,D,Y,A,N,Y,Y,D,A,Y,0,Y,N,0,N,Y,Y,D,D,Y,N,Y,Y,N,N,N,N,N,Y,D,0,N,Y,-8,3.75
0,N,Y,A,A,0,Y,N,Y,D,N,Y,N,N,D,Y,N,Y,D,D,N,Y,Y,N,Y,N,N,N,N,N,Y,N,A,D,-2,3.25
D,D,0,0,Y,0,N,N,D,0,Y,N,Y,Y,D,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,0,D,N,D,-6,-4.75
A,N,N,A,A,Y,N,N,N,A,Y,0,Y,Y,A,Y,N,Y,A,N,Y,Y,N,N,N,Y,N,N,N,D,D,N,N,Y,-5,1.75
N,D,A,Y,A,Y,Y,N,D,Y,N,Y,A,Y,A,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,D,D,0,D,A,-5,-1.75
Y,A,A,N,N,N,Y,N,D,Y,N,D,A,N,A,Y,Y,Y,0,A,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,A,D,-3,-1
Y,Y,N,Y,N,A,Y,Y,A,D,Y,N,N,Y,D,N,Y,Y,A,0,Y,Y,Y,N,N,Y,N,Y,N,0,N,A,D,N,-5,2.75
A,N,A,D,N,Y,Y,N,N,0,Y,N,Y,N,D,N,N,Y,N,D,Y,Y,Y,Y,Y,Y,N,N,Y,D,N,0,N,Y,-2,1
D,D,D,Y,D,Y,N,N,D,A,Y,0,A,N,A,N,Y,N,0,D,Y,N,N,N,N,Y,N,N,N,N,N,A,D,0,-7,-5.5
D,N,N,D,D,A,N,Y,D,0,N,0,Y,N,0,N,Y,N,A,N,N,N,N,Y,Y,Y,N,N,Y,A,A,0,A,0,-3,-4.25
N,A,D,D,A,Y,Y,N,A,0,Y,N,0,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,Y,N,N,A,Y,-3,1.5
D,Y,N,A,D,0,N,Y,Y,A,N,0,A,N,0,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,A,Y,N,0,-6,1.75
A,D,Y,D,N,D,Y,Y,N,D,N,A,0,N,D,N,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,A,A,A,0,-4,-0.75
Y,Y,0,N,D,0,N,N,A,D,Y,A,N,Y,D,Y,N,Y,0,A,Y,N,Y,Y,Y,Y,Y,Y,Y,0,Y,D,D,D,-4,-1.25
D,D,A,N,N,N,N,Y,D,N,Y,0,D,N,A,N,Y,Y,D,0,Y,Y,Y,N,N,Y,N,N,Y,0,A,D,0,D,-2,-2.5
0,0,0,0,Y,D,N,N,0,A,N,N,A,Y,N,N,N,N,A,Y,Y,N,N,Y,N,Y,N,N,N,A,0,N,0,0,-8,-4
N,N,N,A,A,N,Y,Y,D,D,Y,0,D,Y,N,N,Y,Y,0,A,Y,N,Y,N,N,Y,Y,Y,Y,A,N,N,0,Y,-4,1
D,Y,N,0,0,A,N,N,N,N,Y,N,Y,N,N,N,N,N,N,A,N,Y,Y,Y,Y,N,N,Y,Y,N,D,A,D,A,-2,-4.75
A,D,Y,N,0,N,Y,Y,A,A,Y,D,A,N,N,Y,Y,Y,A,Y,Y,N,N,N,N,N,Y,Y,N,A,N,A,Y,0,-8,4
0,A,Y,0,Y,0,Y,N,Y,A,Y,A,0,Y,A,Y,N,N,N,Y,N,Y,N,Y,Y,N,Y,N,N,0,N,A,N,Y,-3,3.25
D,0,Y,0,Y,N,N,N,A,A,N,D,Y,N,Y,Y,Y,Y,D,N,N,N,N,Y,N,Y,N,Y,Y,A,N,N,N,N,-5,0.75
N,D,Y,Y,D,D,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,D,D,N,Y,N,Y,N,Y,Y,N,N,D,N,Y,Y,Y,-3,0.75
D,N,N,0,A,0,Y,Y,Y,N,Y,0,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,A,D,D,0,-1,1
N,A,0,A,A,0,Y,Y,D,A,Y,D,N,Y,N,N,N,N,D,Y,N,N,N,N,Y,N,N,Y,N,A,D,0,0,0,-6,2.25
0,0,0,N,0,A,Y,N,N,A,Y,Y,D,Y,A,Y,N,N,0,N,Y,N,N,N,N,Y,N,N,Y,D,0,0,A,0,-5,0.5
A,N,D,0,A,Y,N,Y,A,Y,Y,A,Y,Y,0,Y,N,N,Y,D,Y,N,N,N,Y,Y,Y,Y,N,0,Y,N,0,N,-6,3.75
Y,D,D,Y,0,N,N,Y,0,N,Y,D,A,N,D,Y,N,Y,A,0,Y,N,Y,N,N,N,Y,Y,N,D,N,N,Y,N,-7,-3
D,0,0,Y,D,Y,Y,N,Y,N,Y,Y,D,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,D,A,D,N,Y,-1,0.75
0,Y,Y,0,A,D,N,N,D,D,Y,0,Y,N,D,Y,N,N,D,Y,N,Y,N,Y,Y,N,N,N,Y,N,0,N,N,0,-2,-3.5
D,D,N,D,0,D,N,Y,N,Y,N,D,0,N,Y,Y,Y,Y,0,Y,Y,N,Y,Y,Y,N,N,N,Y,N,0,0,N,A,-5,-5.25
A,A,Y,D,D,Y,Y,Y,A,0,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,Y,N,Y,N,A,D,Y,D,0,-6,1
A,D,0,Y,A,0,N,N,0,0,N,N,0,N,Y,Y,N,Y,0,0,Y,Y,Y,Y,Y,Y,Y,N,N,A,A,A,D,A,-3,0.75
A,N,N,Y,N,D,Y,N,D,D,N,N,D,Y,Y,N,N,N,D,A,N,Y,N,N,N,N,Y,N,N,Y,N,A,N,D,-3,-6.25
N,N,Y,D,0,D,N,Y,Y,A,N,0,Y,N,0,Y,Y,Y,A,0,N,Y,Y,Y,N,N,Y,N,N,0,D,0,Y,A,-3,-0.25
Y,N,0,A,0,N,Y,Y,0,N,Y,A,A,N,0,Y,Y,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,A,N,A,A,-2,3
N,0,N,A,0,N,Y,N,0,N,Y,A,N,Y,N,N,N,N,Y,0,N,N,N,N,N,N,N,Y,Y,N,D,A,N,A,-5,-1
Y,A,Y,D,A,0,N,Y,D,D,Y,0,A,N,Y,Y,Y,N,D,N,Y,N,N,Y,Y,N,Y,N,N,D,Y,A,N,D,-7,0.75
D,N,0,D,N,0,N,N,Y,0,Y,A,0,Y,D,Y,N,N,D,0,Y,N,Y,Y,Y,Y,Y,N,N,0,Y,D,A,D,-5,-1.25
N,0,0,D,N,N,N,Y,N,0,N,N,N,N,0,Y,Y,Y,A,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,0,0,0,D,D,-3,-4.25
N,A,Y,A,D,A,N,Y,D,Y,Y,D,0,N,N,N,Y,Y,A,0,N,N,Y,Y,Y,N,Y,Y,Y,0,N,D,D,N,-3,-1
A,N,Y,A,A,A,N,N,Y,A,Y,N,N,Y,Y,N,N,Y,D,A,N,Y,Y,Y,N,N,Y,N,N,A,N,N,D,Y,-3,4
A,A,0,Y,0,D,Y,Y,A,D,Y,D,D,N,N,N,Y,N,N,Y,N,Y,Y,N,Y,N,N,Y,Y,N,D,0,0,A,-1,-0.25
D,0,N,A,N,A,Y,Y,N,A,N,A,0,Y,D,Y,N,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,0,N,Y,Y,0,-6,2.75
0,N,N,A,0,A,Y,N,Y,D,N,0,0,N,Y,Y,N,Y,N,D,Y,Y,Y,N,N,N,N,N,Y,0,0,A,N,N,-3,1.75
D,0,D,0,N,A,Y,Y,0,D,Y,N,N,Y,0,Y,Y,N,0,0,N,Y,N,N,N,N,Y,Y,Y,0,0,0,0,A,-2,-0.25
A,0,0,A,N,Y,N,N,Y,0,N,A,Y,Y,D,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,0,0,A,N,D,-6,3.5
